phoneme,formant,n_L1,n_L2,sw_p_L1,sw_p_L2,normal_L1,normal_L2,levene_p,equal_var
a,F1_lob,1334,1763,0.0,0.0,False,False,0.0,False
a,F2_lob,1334,1763,0.0,0.0,False,False,0.0,False
e,F1_lob,109,132,0.0001,0.0013,False,False,0.0,False
e,F2_lob,109,132,0.0,0.0,False,False,0.0,False
i,F1_lob,908,962,0.0,0.0,False,False,0.5795,True
i,F2_lob,908,962,0.0,0.0,False,False,0.0,False
o,F1_lob,54,60,0.4194,0.2863,True,True,0.6562,True
o,F2_lob,54,60,0.6327,0.1131,True,True,0.0017,False
u,F1_lob,323,390,0.0,0.0,False,False,0.0659,True
u,F2_lob,323,390,0.0,0.0,False,False,0.0046,False
y,F1_lob,273,265,0.0,0.0,False,False,0.0032,False
y,F2_lob,273,265,0.0,0.0,False,False,0.0785,True
ø,F1_lob,108,120,0.1659,0.0056,True,False,0.0,False
ø,F2_lob,108,120,0.0001,0.0,False,False,0.0131,False
ɑ,F1_lob,608,399,0.0,0.0,False,False,0.0,False
ɑ,F2_lob,608,399,0.0,0.0,False,False,0.0,False
ə,F1_lob,30,87,0.018,0.032,False,False,0.9566,True
ə,F2_lob,30,87,0.3896,0.0088,True,False,0.0028,False
ɛ,F1_lob,162,185,0.0001,0.5654,False,True,0.0,False
ɛ,F2_lob,162,185,0.0009,0.0,False,False,0.0,False
