representation,response,ICC,var_random,var_residual,AIC_null
acoustic_F1_lob,F1_lob,0.0,0.0,1.009188,23556.57
acoustic_F2_lob,F2_lob,0.0,0.0,0.993595,23427.76
whisper_L2,PC1,0.0106,0.098412,9.20675,41887.27
whisper_L2,PC2,0.0153,0.364135,23.434222,49623.37
whisper_L2,PC3,0.1945,3.59101,14.872677,45911.1
whisper_L2,PC4,0.0234,0.417335,17.422313,47177.92
whisper_L2,PC5,0.2186,3.72726,13.323484,45003.75
whisper_L5,PC1,0.0041,0.052549,12.640086,44496.31
whisper_L5,PC2,0.0,0.0,19.591756,48102.65
whisper_L5,PC3,0.0028,0.071716,25.516197,50303.86
whisper_L5,PC4,0.0028,0.058723,21.225567,48780.39
whisper_L5,PC5,0.0,0.0,17.728757,47275.9
xlsr_L3,PC1,0.0093,0.285721,30.296377,51740.42
xlsr_L3,PC2,0.0198,0.474941,23.4769,49642.86
xlsr_L3,PC3,0.0196,0.256046,12.797378,44622.2
xlsr_L3,PC4,0.0259,0.455392,17.144879,47046.9
xlsr_L3,PC5,0.0454,1.525912,32.097991,52245.86
xlsr_L12,PC1,0.0261,1.942114,72.329148,58957.74
xlsr_L12,PC2,0.0037,0.173705,46.246619,55227.43
xlsr_L12,PC3,0.021,0.374766,17.460673,47194.22
xlsr_L12,PC4,0.011,0.303693,27.388628,50908.08
xlsr_L12,PC5,0.0169,0.61664,35.839843,53140.38
xlsr_L21,PC1,0.2502,243.261954,729.04608,78121.35
xlsr_L21,PC2,0.0985,0.73134,6.694342,39291.42
xlsr_L21,PC3,0.0334,0.090699,2.628644,31535.86
xlsr_L21,PC4,0.0919,0.249574,2.465928,31026.8
xlsr_L21,PC5,0.0344,0.072881,2.047629,29469.68
