representation,response,R2_marginal,R2_conditional
acoustic_F1_lob,F1_lob,0.0,0.0
acoustic_F2_lob,F2_lob,0.0001,0.0001
whisper_L2,PC1,0.0088,0.0173
whisper_L2,PC2,0.0133,0.0238
whisper_L2,PC3,0.1806,0.2448
whisper_L2,PC4,0.0217,0.0271
whisper_L2,PC5,0.2031,0.2659
whisper_L5,PC1,0.0034,0.0044
whisper_L5,PC2,0.0,0.0
whisper_L5,PC3,0.0018,0.0036
whisper_L5,PC4,0.0023,0.0028
whisper_L5,PC5,0.0003,0.0003
xlsr_L3,PC1,0.0074,0.0164
xlsr_L3,PC2,0.0182,0.025
xlsr_L3,PC3,0.0173,0.0346
xlsr_L3,PC4,0.0235,0.041
xlsr_L3,PC5,0.0427,0.0581
xlsr_L12,PC1,0.0234,0.0477
xlsr_L12,PC2,0.0024,0.0054
xlsr_L12,PC3,0.0186,0.0388
xlsr_L12,PC4,0.0092,0.0161
xlsr_L12,PC5,0.0151,0.0229
xlsr_L21,PC1,0.2103,0.3595
xlsr_L21,PC2,0.0889,0.1655
xlsr_L21,PC3,0.0313,0.0402
xlsr_L21,PC4,0.0846,0.1461
xlsr_L21,PC5,0.0326,0.0516
