representation,response,model,AIC,BIC,loglik,LRT_stat,LRT_df,LRT_p
acoustic_F1_lob,F1_lob,null,23556.57,23577.63,-11775.29,,0,
acoustic_F1_lob,F1_lob,main_effects,23560.44,23595.55,-11775.22,0.1269,2,0.9385
acoustic_F1_lob,F1_lob,interaction,23562.44,23604.57,-11775.22,0.0012,1,0.9726
acoustic_F1_lob,F1_lob,extended,16030.1,16086.27,-8007.05,7536.3413,2,0.0
acoustic_F2_lob,F2_lob,null,23427.76,23448.83,-11710.88,,0,
acoustic_F2_lob,F2_lob,main_effects,23431.19,23466.29,-11710.59,0.5763,2,0.7496
acoustic_F2_lob,F2_lob,interaction,23433.01,23475.13,-11710.5,0.1792,1,0.672
acoustic_F2_lob,F2_lob,extended,21019.39,21075.55,-10501.69,2417.6196,2,0.0
whisper_L2,PC1,null,41887.27,41908.33,-20940.63,,0,
whisper_L2,PC1,main_effects,41888.19,41923.29,-20939.1,3.0768,2,0.2147
whisper_L2,PC1,interaction,41890.19,41932.31,-20939.09,0.0008,1,0.9778
whisper_L2,PC1,extended,39856.22,39912.39,-19920.11,2037.9709,2,0.0
whisper_L2,PC1,random_slope,41892.17,41941.31,-20939.08,-2037.9493,1,1.0
whisper_L2,PC2,null,49623.37,49644.43,-24808.68,,0,
whisper_L2,PC2,main_effects,49621.83,49656.93,-24805.91,5.54,2,0.0627
whisper_L2,PC2,interaction,49623.54,49665.67,-24805.77,0.2851,1,0.5934
whisper_L2,PC2,extended,43195.69,43251.86,-21589.85,6431.8519,2,0.0
whisper_L2,PC3,null,45911.1,45932.16,-22952.55,,0,
whisper_L2,PC3,main_effects,45895.74,45930.85,-22942.87,19.3526,2,0.0001
whisper_L2,PC3,interaction,45897.6,45939.72,-22942.8,0.1465,1,0.7019
whisper_L2,PC3,extended,44638.2,44694.37,-22311.1,1263.3964,2,0.0
whisper_L2,PC4,null,47177.92,47198.98,-23585.96,,0,
whisper_L2,PC4,main_effects,47160.22,47195.32,-23575.11,21.7025,2,0.0
whisper_L2,PC4,interaction,47160.86,47202.98,-23574.43,1.3584,1,0.2438
whisper_L2,PC4,extended,41737.9,41794.07,-20860.95,5426.9576,2,0.0
whisper_L2,PC5,null,45003.75,45024.81,-22498.88,,0,
whisper_L2,PC5,main_effects,44985.62,45020.72,-22487.81,22.1313,2,0.0
whisper_L2,PC5,interaction,44987.57,45029.69,-22487.78,0.0507,1,0.8219
whisper_L2,PC5,extended,38562.52,38618.68,-19273.26,6429.0518,2,0.0
whisper_L5,PC1,null,44496.31,44517.38,-22245.16,,0,
whisper_L5,PC1,main_effects,44488.65,44523.76,-22239.33,11.6614,2,0.0029
whisper_L5,PC1,interaction,44489.58,44531.71,-22238.79,1.0715,1,0.3006
whisper_L5,PC1,extended,41918.54,41974.71,-20951.27,2575.0429,2,0.0
whisper_L5,PC2,null,48102.65,48123.71,-24048.32,,0,
whisper_L5,PC2,main_effects,48106.52,48141.62,-24048.26,0.1251,2,0.9394
