phoneme,formant,obs_diff,ci_lo,ci_hi,sig
a,F1_lob,0.0199,-0.105,0.1654,False
a,F2_lob,0.0772,-0.0196,0.1689,False
e,F1_lob,0.0463,-0.1313,0.1928,False
e,F2_lob,0.0575,-0.1241,0.2297,False
i,F1_lob,0.0138,-0.1595,0.1921,False
i,F2_lob,-0.0229,-0.1099,0.0763,False
o,F1_lob,-0.0408,-0.2115,0.1215,False
o,F2_lob,-0.0206,-0.2251,0.1884,False
u,F1_lob,0.1688,0.0359,0.2892,True
u,F2_lob,-0.1901,-0.3221,-0.0758,True
y,F1_lob,0.2311,-0.0023,0.466,False
y,F2_lob,0.1843,-0.0133,0.3728,False
ø,F1_lob,-0.1296,-0.3297,0.0527,False
ø,F2_lob,0.0231,-0.1774,0.2495,False
ɑ,F1_lob,-0.3861,-0.8466,0.0077,False
ɑ,F2_lob,-0.2361,-0.4258,-0.0622,True
ə,F1_lob,-0.393,-0.8097,0.0704,False
ə,F2_lob,0.087,-0.169,0.3399,False
ɛ,F1_lob,0.1811,-0.021,0.3793,False
ɛ,F2_lob,0.1676,-0.0237,0.3696,False
