k,silhouette,representation
2,0.353,acoustic
3,0.4142,acoustic
4,0.3908,acoustic
5,0.3883,acoustic
6,0.2992,acoustic
7,0.2388,acoustic
8,0.2088,acoustic
9,0.0933,acoustic
2,0.2507,whisper_L2
3,0.2841,whisper_L2
4,0.1995,whisper_L2
5,0.1648,whisper_L2
6,0.2058,whisper_L2
7,0.1714,whisper_L2
8,0.1254,whisper_L2
9,0.0707,whisper_L2
2,0.1859,whisper_L5
3,0.1989,whisper_L5
4,0.2006,whisper_L5
5,0.2374,whisper_L5
6,0.2521,whisper_L5
7,0.2245,whisper_L5
8,0.1584,whisper_L5
9,0.0885,whisper_L5
2,0.3588,xlsr_L3
3,0.3684,xlsr_L3
4,0.3492,xlsr_L3
5,0.3155,xlsr_L3
6,0.3507,xlsr_L3
7,0.2527,xlsr_L3
8,0.184,xlsr_L3
9,0.0688,xlsr_L3
2,0.288,xlsr_L12
3,0.272,xlsr_L12
4,0.2244,xlsr_L12
5,0.2227,xlsr_L12
6,0.2041,xlsr_L12
7,0.1823,xlsr_L12
8,0.1037,xlsr_L12
9,0.049,xlsr_L12
2,0.6457,xlsr_L21
3,0.5864,xlsr_L21
4,0.3821,xlsr_L21
5,0.3794,xlsr_L21
6,0.3697,xlsr_L21
7,0.271,xlsr_L21
8,0.209,xlsr_L21
9,0.1177,xlsr_L21
